字段,是否必填,说明,示例
商品ID,二选一,千牛/淘宝商品 ID；有值时优先使用。为空但填写商家编码时，脚本会自动解析商品ID,728857154429
商家编码,二选一,店铺内部商家编码；商品ID为空时，脚本会去千牛“我的商品”按商家编码搜索并取回商品ID,46X096070266
达人,否,填写业务图包主图下的达人文件夹名时，会精确使用该达人图片包；不填时，单行同款会展开全部达人，多行重复同款会按行顺序分配达人包,AHOYECHO
素材图片,否,本地绝对路径或 http(s) 图片 URL；多张用换行、分号、竖线或空格分隔。也可以留空，改在 UI 选择素材根目录或手动多选素材图片,/Users/you/Desktop/KOL素材/728857154429/01.jpg;/Users/you/Desktop/KOL素材/728857154429/02.jpg
素材张数,否,素材图片为空且填写了“素材根目录”时生效；单行同款展开全部达人，多行重复同款按行顺序分配达人包；每条取对应达人前 N 张；旧规则读取 01.jpg 到 NN.jpg,3
比例,否,展示视频生成比例；为空使用运行界面的默认比例,3:4
提示词,否,传给每张图片的生成提示；为空则不传,突出商品版型和面料质感
备注,否,原样带到结果里，便于人工追踪,第一批 KOL 素材
素材包摆放,建议,推荐业务图包：素材根目录/MOP655137Z4106Z+656939D1213Y/图片/主图/达人/图片；顶层目录可用 + 关联多个商家编码；脚本只取主图图片，忽略视频和买家秀；多个达人文件夹可自动展开或按重复行分配,/Users/you/Desktop/KOL素材/MOP655137Z4106Z+656939D1213Y/图片/主图/AHOYECHO/xxx.jpg
手动多选命名,建议,使用“手动选择素材图片”时，文件名以商品ID/商家编码开头或父文件夹为商品ID/商家编码；脚本会自动归组,46X096070266_01.jpg 或 46X096070266/01.jpg
