字段,是否必填,填写方式,枚举/示例,说明
案例名称,必填,文本,客服自动回复案例,最多 100 字
封面图路径,必填,本地路径或 URL,/Users/yourname/Desktop/cover.png,支持 PNG/JPG/GIF/WebP；本地路径会自动上传
案例类型,必填,下拉/名称或编码,"PL1 计划&企划; PL2 开款; PL3 订货; PL4 采购; PL5 上市; PL6 销售; PL7 促(营)销; PL8 柔供快反; PL9 商品流转; PL10 财务; PL11 其他",可填模板下拉值、编码或中文名称
使用链接,必填,URL,https://ai.semir.com/console/studio/demo,案例在线使用地址
下载链接,选填,URL,https://example.com/app.exe,安装包下载地址
所属AI纵队,必填,下拉/名称,"商品运营; 电商运营; 商品企划洞察; 内容直播; 创意设计; 市场营销; 经营分析; 门店终端; 经管中心; 客服; 物流; 财务; 供应链; 数字中心; 采购; 人资中心",需与页面当前枚举一致
所属部门,必填,部门ID/部门名称/部门路径,海外业务产研组,部门重名时建议填写完整路径或 deptId
案例描述,必填,文本,简要描述背景目标和功能,最多 100 字
案例说明,必填,文本或 HTML,<p>案例背景、应用方式与业务价值</p>,纯文本会自动转成段落 HTML
案例开发者,必填,姓名/用户ID/手机号，多值用换行、分号或竖线分隔,邢易成,会通过接口解析为开发者 userId
涉及技能,必填,技能名称/技能ID，多值用换行、分号或竖线分隔,WPS自动生成PPT,会通过技能接口解析为 skillId
可复用岗位,选填,岗位名称，多值用换行、分号或竖线分隔,电商运营|客服,页面支持手输岗位，脚本直接提交名称
使用频次,选填,数字,30,单位：次/月
价值分类,必填,多选,"提效; 增收; 降本; 其他",选择提效/增收/降本/其他时，对应指标必填
原工时,提效必填,数字,2,单位小时
现工时,提效必填,数字,0.5,需大于 0 且小于等于原工时
增收金额,增收必填,数字,1000,单位元/次
降低成本,降本必填,数字,500,单位元/次
其他介绍,其他必填,文本,提升体验,最多 100 字
亮点1描述/指标,选填,文本,处理速度提升 / 75%,最多 3 条亮点
对比1之前/之后,选填,文本,人工处理 / AI 自动处理,最多 10 条前后对比；模板预留 2 条
操作文档路径,选填,本地路径或 URL，多值分隔,/Users/yourname/Desktop/manual.pdf,支持 PPT/PPTX/PDF；本地路径会自动上传
视频路径,选填,本地路径或 URL，多值分隔,/Users/yourname/Desktop/demo.mp4,支持常见视频文件；本地路径会自动上传
钉钉联系人,选填,手机号或钉钉号,15500000000,用于页面“钉钉联系人”字段
